West_Osgiliath_Province		327	219	rammas_e.wfc			storm		afternoon
West-Osgiliath_Provincea	329	219	osg.wfc					rain		morning
Anorien_Province			324	221	rammas_n.wfc			storm		midday
Anorien_Provincea			324	214	rammas_n.wfc			storm		midday
Anorien_Provinceb			325	220	pelenor.wfc				storm		sunrise
Anorien_Provincec			325	219	pelenor.wfc				storm		sunrise
Anorien_Provinced			325	218	pelenor.wfc				storm		sunrise
Anorien_Provincee			325	217	pelenor.wfc				storm		sunrise
Anorien_Provincef			325	216	pelenor.wfc				storm		sunrise
Anorien_Provinceg			324	220	pelenor.wfc				storm		sunrise
Anorien_Provinceh			324	219	pelenor.wfc				storm		sunrise
Anorien_Provincei			324	218	pelenor.wfc				storm		sunrise
Anorien_Provincej			324	216	pelenor.wfc				storm		sunrise
Anorien_Provincek			324	215	pelenor.wfc				storm		sunrise
Anorien_Provincel			326	219	pelenor.wfc				storm		sunrise
Anorien_Provincem			326	218	pelenor.wfc				storm		sunrise
Anorien_Provincen			326	217	pelenor.wfc				storm		sunrise
Anorien_Provinceo			323	220	barrow.wfc				moria		morning
East_Emnet_Province			301	259	argonath.wfc			cloudy		morning
East_Emnet_Provincea		300	259	argonath.wfc			cloudy		morning
East-Emnet_Provinceb		301	251	amon_hen.wfc			clear		midday
Wilderland_Province			302	259	argonath.wfc			cloudy		morning
Helms-Deep_Province			231	260	hornburg_amb.wfc		rain		midday
Helms-Deep_Provincea		231	259	hornburg_amb.wfc		rain		midday
Helms_Deep_Provinceb		232	259	barrow.wfc				moria		morning
Misty-Mountains_Province	243	342	moria.wfc				rain		morning
Westfold_Province			224	268	isen_fords.wfc			cloudy		morning
South-Mithlond_Province		101	377	undertowers.wfc			cloudy		morning
East_Moria_Province			244	341	moria_halls.wfc			clear		night
West_Moria_Province			243	341	moria_halls.wfc			clear		night
Metraith_Province			162	367	barrow.wfc				moria		morning
Cardolan_Province			164	372	barrow.wfc				moria		morning
Cardolan_Provinceb			162	373	barrow.wfc				moria		morning
Cardolan_Provincec			162	375	barrow.wfc				moria		morning
Cardolan_Provinced			169	371	barrow.wfc				moria		morning
Cardolan_Provincee			173	371	barrow.wfc				moria		morning
Cardolan_Provincef			175	370	barrow.wfc				moria		morning
Cardolan_Provinceg			166	373	barrow.wfc				moria		morning
Cardolan_Provinceh			167	373	barrow.wfc				moria		morning
Cardolan_Provincei			167	372	barrow.wfc				moria		morning
Cardolan_Provincej			167	371	barrow.wfc				moria		morning
Cardolan_Provincek			166	371	barrow.wfc				moria		morning
Cardolan_Provincel			165	371	barrow.wfc				moria		morning
Cardolan_Provincem			165	373	barrow.wfc				moria		morning
Cardolan_Provincen			165	372	barrow.wfc				moria		morning
Cardolan_Provinceo			162	374	barrow.wfc				moria		morning
Lake_Evendim_Province		135	404	barrow.wfc				moria		morning
Arthedain_Province			162 407	barrow.wfc				moria		morning
Weather_Hills_Province		191	375	barrow.wfc				moria		morning
Carn_Dum_Province			213	449	barrow.wfc				moria		morning
Nan_Curunir_Province		221	278	barrow.wfc				moria		morning
Kings_Land_Province			252	247	barrow.wfc				moria		morning
Druwaith_Iaur_Province		152	292	barrow.wfc				moria		morning
Tharbad_Province			188	334	barrow.wfc				moria		morning
Belfalas_Province			250	188	barrow.wfc				moria		morning
Deep_Mirkwood_Province		296	329	barrow.wfc				moria		morning
Umbar_Province				230	89	barrow.wfc				moria		morning
Lone_lands_Provincea		181	332	barrow.wfc				moria		morning
East_Moria_Province0		263	386 underground_wk.wfc		moria		morning
East_Moria_Province1		262	388 underground_wk.wfc		moria		morning
East_Moria_Province2		262	387 underground_wk.wfc		moria		morning
East_Moria_Province3		262	384 underground_wk.wfc		moria		morning
East_Moria_Province4		262	383 underground_wk.wfc		moria		morning
East_Moria_Province5		261	389 underground_wk.wfc		moria		morning
East_Moria_Province6		261	382 underground_wk.wfc		moria		morning
East_Moria_Province7		261	375 underground_wk.wfc		moria		morning
East_Moria_Province8		260	374 underground_wk.wfc		moria		morning
East_Moria_Province8a		258	372 underground_wk.wfc		moria		morning
East_Moria_Province8b		257	371 underground_wk.wfc		moria		morning
East_Moria_Province9		255	369 underground_wk.wfc		moria		morning
East_Moria_Province10		255	367 underground_wk.wfc		moria		morning
East_Moria_Province11		255	365 underground_wk.wfc		moria		morning
East_Moria_Province12		255	362 underground_wk.wfc		moria		morning
East_Moria_Province13		254	361 underground_wk.wfc		moria		morning
East_Moria_Province14		254	360 underground_wk.wfc		moria		morning
East_Moria_Province15		253	358 underground_wk.wfc		moria		morning
East_Moria_Province16		253	355 underground_wk.wfc		moria		morning
East_Moria_Province17		253	353 underground_wk.wfc		moria		morning
East_Moria_Province18		252	353 underground_wk.wfc		moria		morning
East_Moria_Province19		251	352 underground_wk.wfc		moria		morning
East_Moria_Province20		251	353 underground_wk.wfc		moria		morning
East_Moria_Province21		249	351 underground_wk.wfc		moria		morning
East_Moria_Province22		248	351 underground_wk.wfc		moria		morning
East_Moria_Province23		247	350 underground_wk.wfc		moria		morning
East_Moria_Province24		246	350 underground_wk.wfc		moria		morning
East_Moria_Province25		246	348 underground_wk.wfc		moria		morning
East_Moria_Province26		245	346 underground_wk.wfc		moria		morning
East_Moria_Province27		244	346 underground_wk.wfc		moria		morning
East_Moria_Province28		244	345 underground_wk.wfc		moria		morning
East_Moria_Province29		244	344 underground_wk.wfc		moria		morning
East_Moria_Province30		243	344 underground_wk.wfc		moria		morning
